key,value,unit,status,range,justification
discount_rate_real,0.08,доля в год (реальная ставка),TEAM_ASSUMPTION,"[0.0, 0.15]","Реальная ставка дисконтирования для долгоживущей инфраструктуры с технологическим риском. Организатором не задана. Применяется одинаково ко всем альтернативам; чувствительность 0–12 % в experiments/run_sensitivity.py.
"
discount_t0_year,2035,год,TEAM_ASSUMPTION,"[2035, 2035]",Годовые денежные потоки датируются началом каждого года; коэффициент приведения = 1/(1+r)^(год − 2035).
discount_timing,"""start""",перечисление start|mid|end,TEAM_ASSUMPTION,"[""start"", ""mid"", ""end""]","Момент внутри года, к которому отнесён годовой поток — начало (показатель степени год − 2035), середина (+0,5) или конец (+1); одинаково для всех альтернатив."
prep_period_start,"""2034-01""",ГГГГ-ММ,TEAM_ASSUMPTION,"[""2033-01"", ""2034-12""]",Самая ранняя дата заказа в подготовительном периоде (Earth-Core требует 12 месяцев до 2035-01).
lead_time_policy,"""max""",перечисление min|max|mean,TEAM_ASSUMPTION,"[""min"", ""max"", ""mean""]","Консервативный край диапазонов сроков поставки организатора (Earth-New 24 месяца, ISRU 2 месяца)."
weeks_per_month,4.345,недель,TEAM_ASSUMPTION,"[4.0, 4.5]","365/12/7. Сроки в неделях переводятся как ceil(недели/4,345) -> Emergency 6 недель = 2 месяца."
days_per_month,30.4167,дней,TEAM_ASSUMPTION,"[28, 31]",365/12; сроки в днях переводятся с округлением вверх.
zbo_commissioning_lag_months,0,месяцев,TEAM_ASSUMPTION,"[0, 12]",Кейс не задаёт срок модернизации ZBO; она считается действующей с месяца оплаты CAPEX. Варьируется в анализе чувствительности.
earth_new_post_commissioning_lead_months,0,месяцев,TEAM_ASSUMPTION,"[0, 12]","Срок Earth-New 18–24 месяца трактуется как время от решения до первой поставки; заказы размещаются в период подготовки, после ввода дополнительный срок заказа 0 месяцев."
isru_commissioning_month,"""2038-01""",ГГГГ-ММ,CASE_INPUT,"[""2038-01"", ""2038-01""]",Lunar-ISRU доступен с 2038 года при финансировании CAPEX до 2038 года.
