risk_id,event,period,owner,basis,protocol,dependencies,consequence_label,metric,unit,recomputed,published,tolerance,matches,recomputed_from,measures_count,cheapest_measure_cost_mln_pv,residual_risk
Р1,Задержка ввода Earth-New на 3 / 6 / 12 месяцев,ввод 2037-01 → 2037-04 / 2037-07 / 2038-01; последствия на 1 января 2038–2040,ПОСТ C / ОП,"сценарные задержки на копии данных; статистики нет, вероятность не назначается",EXP-09;EXP-12;EXP-13,Р2;Р4,максимальный разрыв 45-дневного резерва при задержке 12 мес.,max_reserve_gap_t,т,12.81201,12.812,0.01,True,"Earth-New: подготовка +12 мес., слоты поставок заморожены",4,0.285,"реакция работает, если задержка объявлена не позднее 2037-08 (4 месяца до проверки резерва); задержка свыше 12 мес. не рассчитана; концентрация 130 т/год на одном новом поставщике сохраняется"
Р2,Спрос выше базового (обязательный стресс +15 % с 2038; официальный высокий вариант),2038–2040 (стресс); 2035–2040 (высокий вариант),ОП / ПОТР,обязательный стрессовый сценарий и официальный высокий вариант спроса,EXP-02;EXP-03,Р1;Р4,дефицит неизменного плана в обязательном стрессе,shortage_total_t,т,95.917414,95.917,0.01,True,P2z_earth_new_zbo в сценарии MANDATORY_STRESS,2,954.574,у фиксированного графика нулевой запас прочности: резерв рассчитан ровно по норме; адаптированный график в BASE переполняет хранилище
Р3,"Спрос ниже базового (официальный низкий вариант, −20 %)",2035–2040,ОП / ФИН,официальный низкий вариант спроса,EXP-03,Р7,переполнения хранилища у неизменного плана при низком спросе,storage_overflow_violations,нарушений,43.0,43.0,0.0,True,P2z_earth_new_zbo при low-варианте спроса,1,,сокращение при замороженных контрактах ограничено take-or-pay; политика с замороженными обязательствами не проверена
Р4,Рост цен земных каналов (+25 % в 2038–2039),2038–2039 (может быть задан любой период в блоке геополитики),ОП / ФИН,"ценовая часть обязательного стресса; сценарный коэффициент команды, не прогноз",EXP-11,Р1;Р2,удорожание неизменного P2z при шоке +25 % в 2038–2039,delta_pv_mln,млн PV,470.891774,470.892,0.01,True,P2z_earth_new_zbo: цены каналов A/B +25 % в 2038–2039 против BASE,2,,экспозиция равна доле Earth-Core и Earth-Flex в закупках 2038–2039; хвост за пределами коридора пересогласуется
Р5,Задержка ввода модернизации ZBO (лаг 0–12 месяцев),2037-07 → до 2038-07,ПОСТ ZBO / ОП,диапазон допущения команды (TEAM_ASSUMPTION),EXP-04,Р7,"первый лаг, при котором нарушается годовая проверка потерь в стрессе",first_failing_lag_months,мес.,10.0,10.0,0.0,True,P3_isru_zbo в обязательном стрессе: первый лаг ZBO с нарушением годовой проверки потерь,2,,цена задержки ZBO для P2z отдельно не рассчитана; нулевой лаг — допущение
Р6,Emergency не успевает или не покрывает дефицит,любой год горизонта,ОП,"детерминированные параметры канала, без вероятности",EXP-01,Р2,жёсткие нарушения выбранного плана в BASE,hard_violations,нарушений,0.0,0.0,0.0,True,P2z_earth_new_zbo в сценарии BASE,1,,правило соблюдено во всех опубликованных планах
Р7,Переполнение хранилища при неравномерных поставках или снижении спроса,2035–2040,ОП,детерминированные помесячные проверки,EXP-02,Р3;Р5,"переполнения у адаптированного к стрессу плана, если стресс не наступит",storage_overflow_violations,нарушений,17.0,17.0,0.0,True,P2z_earth_new_zbo_adapted в сценарии BASE,2,,единого графика для BASE и обязательного стресса нет; режим переключается ежегодным решением
Р8,Превышение лимита капитальных вложений,до 2037 / до 2040,ФИН,детерминированное ограничение кейса,EXP-01,Р1;Р9,накопленный CAPEX выбранного плана к 2037 году,cumulative_capex_mln,млн,540.0,540.0,0.001,True,P2z_earth_new_zbo: накопленный CAPEX к 2037 году,1,,возврат к ISRU после 2040 года требует нового лимита и данных
Р9,"Недопоставка Lunar-ISRU (риск, исключённый выбором стратегии)",2038–2039,ФИН / ОП,обязательный стрессовый сценарий,EXP-02;EXP-10,Р2;Р8,дефицит альтернативы с ISRU в обязательном стрессе без адаптации,shortage_total_t,т,170.017414,170.017,0.01,True,P3_isru_zbo в сценарии MANDATORY_STRESS,1,90.547,экономика ISRU после 2040 года не рассчитана; риск не переносится в портфель до 2040 года
Р10,"Совместные малые отклонения спроса, поставок и цен",2038–2040,ОП / ФИН,сетка малых отклонений и обратный стресс по девяти направлениям (TEAM_ASSUMPTION),EXP-07;EXP-08;EXP-12,Р1;Р2;Р4,разрыв резерва у неизменного плана при росте спроса на 1 % в 2038–2040,max_reserve_gap_t,т,6.180485,6.18,0.01,True,P2z_earth_new_zbo: спрос +1 % в 2038–2040,2,0.285,остаточный отказ — резерв января 2040 года; вероятности не оцениваются
