scenario_id,plan_id,rule_id,severity,message,year,month,source_id,actual,limit,excess
TEAM_EARTH_NEW_DELAY_06M,P2z_stock_3.2t,SOURCE_NOT_AVAILABLE,hard,"Earth-New: 1.099 т запланировано на 2037-01, раньше первой возможной поставки 2037-07",2037,1,C,1.099017,0.000000,1.099017
TEAM_EARTH_NEW_DELAY_06M,P2z_stock_3.2t,SOURCE_NOT_AVAILABLE,hard,"Earth-New: 1.099 т запланировано на 2037-02, раньше первой возможной поставки 2037-07",2037,2,C,1.099017,0.000000,1.099017
TEAM_EARTH_NEW_DELAY_06M,P2z_stock_3.2t,SOURCE_NOT_AVAILABLE,hard,"Earth-New: 1.099 т запланировано на 2037-03, раньше первой возможной поставки 2037-07",2037,3,C,1.099017,0.000000,1.099017
TEAM_EARTH_NEW_DELAY_06M,P2z_stock_3.2t,SOURCE_NOT_AVAILABLE,hard,"Earth-New: 1.099 т запланировано на 2037-04, раньше первой возможной поставки 2037-07",2037,4,C,1.099017,0.000000,1.099017
TEAM_EARTH_NEW_DELAY_06M,P2z_stock_3.2t,SOURCE_NOT_AVAILABLE,hard,"Earth-New: 1.099 т запланировано на 2037-05, раньше первой возможной поставки 2037-07",2037,5,C,1.099017,0.000000,1.099017
TEAM_EARTH_NEW_DELAY_06M,P2z_stock_3.2t,SOURCE_NOT_AVAILABLE,hard,"Earth-New: 1.099 т запланировано на 2037-06, раньше первой возможной поставки 2037-07",2037,6,C,1.099017,0.000000,1.099017
TEAM_EARTH_NEW_DELAY_06M,P2z_stock_3.2t,ORDER_EXCEEDS_RESERVATION,hard,"Earth-New 2037: заказано 13.188 т, что превышает контрактно доступный объём 6.595 т (резерв 13.2 т/год × 0.500 года)",2037,,C,13.188200,6.594500,6.593700
TEAM_EARTH_NEW_DELAY_06M,P2z_stock_3.2t,RESERVE_45D,hard,2038-01: физический запас 27.725 т < 45-дневного резерва 30.822 т,2038,1,,27.725406,30.821918,3.096512
TEAM_EARTH_NEW_DELAY_06M,P2z_stock_3.2t,RESERVE_45D,hard,2039-01: физический запас 36.356 т < 45-дневного резерва 39.452 т,2039,1,,36.355549,39.452055,3.096506
TEAM_EARTH_NEW_DELAY_06M,P2z_stock_3.2t,RESERVE_45D,hard,2040-01: физический запас 44.986 т < 45-дневного резерва 48.082 т,2040,1,,44.985690,48.082192,3.096502
