scenario_id,plan_id,source_id,name,year,month,delivery_month,planned_t,actual_t,lead_time_months,order_placement_month,earliest_allowed_order,lead_time_ok,lead_time_note
TEAM_EARTH_NEW_DELAY_00M,P2z_stock_3.2t,A,Earth-Core,2035,1,2035-01,9.156333,9.156333,12,2034-01,2034-01,True,срок поставки 12 мес.; заказы с 2034-01
TEAM_EARTH_NEW_DELAY_00M,P2z_stock_3.2t,A,Earth-Core,2035,2,2035-02,9.156333,9.156333,12,2034-02,2034-01,True,срок поставки 12 мес.; заказы с 2034-01
TEAM_EARTH_NEW_DELAY_00M,P2z_stock_3.2t,A,Earth-Core,2035,3,2035-03,9.156333,9.156333,12,2034-03,2034-01,True,срок поставки 12 мес.; заказы с 2034-01
TEAM_EARTH_NEW_DELAY_00M,P2z_stock_3.2t,A,Earth-Core,2035,4,2035-04,9.156333,9.156333,12,2034-04,2034-01,True,срок поставки 12 мес.; заказы с 2034-01
TEAM_EARTH_NEW_DELAY_00M,P2z_stock_3.2t,A,Earth-Core,2035,5,2035-05,9.156333,9.156333,12,2034-05,2034-01,True,срок поставки 12 мес.; заказы с 2034-01
TEAM_EARTH_NEW_DELAY_00M,P2z_stock_3.2t,A,Earth-Core,2035,6,2035-06,9.156333,9.156333,12,2034-06,2034-01,True,срок поставки 12 мес.; заказы с 2034-01
TEAM_EARTH_NEW_DELAY_00M,P2z_stock_3.2t,A,Earth-Core,2035,7,2035-07,9.156333,9.156333,12,2034-07,2034-01,True,срок поставки 12 мес.; заказы с 2034-01
TEAM_EARTH_NEW_DELAY_00M,P2z_stock_3.2t,A,Earth-Core,2035,8,2035-08,9.156333,9.156333,12,2034-08,2034-01,True,срок поставки 12 мес.; заказы с 2034-01
TEAM_EARTH_NEW_DELAY_00M,P2z_stock_3.2t,A,Earth-Core,2035,9,2035-09,9.156333,9.156333,12,2034-09,2034-01,True,срок поставки 12 мес.; заказы с 2034-01
TEAM_EARTH_NEW_DELAY_00M,P2z_stock_3.2t,A,Earth-Core,2035,10,2035-10,9.156333,9.156333,12,2034-10,2034-01,True,срок поставки 12 мес.; заказы с 2034-01
TEAM_EARTH_NEW_DELAY_00M,P2z_stock_3.2t,A,Earth-Core,2035,11,2035-11,9.156333,9.156333,12,2034-11,2034-01,True,срок поставки 12 мес.; заказы с 2034-01
TEAM_EARTH_NEW_DELAY_00M,P2z_stock_3.2t,A,Earth-Core,2035,12,2035-12,9.156333,9.156333,12,2034-12,2034-01,True,срок поставки 12 мес.; заказы с 2034-01
TEAM_EARTH_NEW_DELAY_00M,P2z_stock_3.2t,A,Earth-Core,2036,1,2036-01,12.754317,12.754317,12,2035-01,2034-01,True,срок поставки 12 мес.; заказы с 2034-01
